SID,Product,User,Date,Message,Sentiment
1,Fitbit versa 2,Basman_FI,2020-06-29 17:00:15," Garmin vivoactive, does the job for all my fitness needs",
2,Fitbit versa 2,goblin in quarantine,2020-06-29 11:34:12,what would be the best smart watch for hiking? would need battery life of about 13/14 hours or so - currently have a garmin vivoactive 2,
3,Fitbit versa 2,Aled,2020-06-29 08:05:55, hi. Is there a way of connecting the HR monitor on my Garmin Vivoactive 3 to Zwift please? Thanks,
4,Fitbit versa 2,David Moseley,2020-06-29 04:14:22, I have just got a garmin vivoactive 3 struggling to get phone calls and txt msg to cone though on an iPhone pro max,
5,Fitbit versa 2,Joanne Gubbings,2020-06-28 18:52:40," I have a vivoactive 3 and it suddenly no longer connects to GPS, any advice?",
6,Fitbit versa 2,jo_v,2020-06-28 18:16:15, help its new Garmin time and I cant decide! Currently have a cracked Vivoactive HR with the Jack Duckworth look and need an upgrade...      ,
7,Fitbit versa 2,Mr Bad Dad 1975,2020-06-28 10:45:42,"Hi tweeples,
Has anyone got or use the Garmin vivoactive 4?
My wife is looking to buy one.
Are they good? (We both use Garmin and don't want to change brand. )
",
8,Fitbit versa 2,Matt Dow,2020-06-28 00:44:00, Garmin Vivoactive 3. Bought it used. I would give it a B. Its no Polar.,
9,Fitbit versa 2,Rahul Trikha,2020-06-27 23:36:09,"  really love everything about my ""vivoactive 4"" and Garmin Connect. Except sleep tracking! The watch records somewhere between 9 mins to 30 mins of deep sleep per night compared to around 2 hours by every other watch I have used.

Any date/plan for a fix ",
10,Fitbit versa 2,Joshua Root,2020-06-27 19:17:04, I bought the Garmin VivoActive 3 for $130 at BJ's a couple weeks ago. Love it so far. It might be more sports watch than smart watch though.,
11,Fitbit versa 2,AnxiouslyRunningFromCovid-19🏃‍♀️,2020-06-27 16:18:39," Garmin vivoactive 3 for me, I have tiny wrists and it looks alright!",
12,Fitbit versa 2,Eric Armstrong,2020-06-27 15:44:48,", I've had a vivoactive HR for a couple of years now. I use it daily for running, golf, etc. I decided to use it in the pool a few days ago and it died within 10 minutes. I've tried the google treatment; trying to let it dry, charge it, etc. Nothings working. Any ideas?",
13,Fitbit versa 2,Jo S,2020-06-27 11:41:21, It depends on your definition of bulky but I have child size hands and I'm really pleased with my Garmin Vivoactive 3.,
14,Fitbit versa 2,TVCream,2020-06-27 10:15:36,"The  rate monitor on our Garmin Vivoactive 4S Smartwatch is going off the scale  after seeing super sexy QVC kitten   in all her purrrrfect above the knee, bare legged and killer heeled spurrrrlendour! ",
15,Fitbit versa 2,Karly 🌹,2020-06-27 09:06:29,  Garmin vivoactive because couldn't afford a Fenix,
16,Fitbit versa 2,Dan Angell-Collins,2020-06-27 08:11:24,"  Garmin Vivoactive 3 - smart enough to wear everyday and tracks my running, cycling or rowing without any issues. ",
17,Fitbit versa 2,Stefano Canepa,2020-06-27 07:38:29, If you like to use the phone my experience is that Strava has the best results especially if you repeat the same track again and again (the correlate data to improve accuracy). My preferred solution is Garmin Vivoactive 3 even if I've not yet tested swimming,
18,Fitbit versa 2,Lauren Robertson,2020-06-27 06:35:46,"  Garmin vivoactive 3  - tracks multi sports, smart watch and super cute!",
19,Fitbit versa 2,Justin Resuello,2020-06-27 03:55:40, Is Neo the Apple Watch? I hope that Samsung or Fossil can come up with a truly competitive wearable perhaps with Google Assistant. I gave up and returned to Garmin (with new VivoActive 4). I still have Gear S3 Frontier for MST when needed -- and Apple Watch Edition I hardly wear.,
